FIRE_ID,LATITUDE,LONGITUDE,IGN_DATE,SIZE_HA,OBJECTID
691,54.1641,-124.5565,20170707000000,1590.000,187
702,53.3612,-124.5543,20170707000000,1.500,188
709,53.5001,-125.1123,20170707000000,2111.000,189
768,54.0429,-124.6246,20170707000000,0.002,190
801,53.6092,-123.6682,20170708000000,250.000,191
826,53.3982,-124.9045,20170708000000,2355.000,192
837,53.4902,-124.5114,20170708000000,2062.000,193
861,53.6864,-124.8234,20170708000000,0.600,194
869,53.4133,-124.9208,20170708000000,1.000,195
911,53.9767,-124.9054,20170709000000,2.300,196
923,54.1075,-124.5070,20170709000000,0.000,197
927,53.9065,-123.9916,20170709000000,0.000,198
930,53.6681,-124.3414,20170709000000,0.009,199
939,53.7067,-124.3701,20170709000000,0.400,200
942,53.9263,-124.6418,20170709000000,0.250,201
960,53.5747,-123.7742,20170710000000,2.500,202
977,53.7669,-124.8429,20170710000000,0.009,203
1007,53.9821,-124.5361,20170710000000,0.009,204
1036,53.3625,-124.5497,20170712000000,0.009,205
1040,53.8629,-124.1925,20170712000000,0.009,206
1048,53.8070,-123.9998,20170712000000,0.009,207
1376,54.0285,-124.3929,20170726000000,0.009,208
1389,54.0889,-124.3657,20170727000000,0.020,209
1436,53.9865,-125.0238,20170729000000,0.009,210
1452,54.0888,-124.5291,20170730000000,0.100,211
52,54.5775,-124.5605,20170425000000,0.800,212
402,54.2095,-123.8051,20170626000000,3.700,213
619,54.6416,-124.9958,20170706000000,0.500,214
657,55.1333,-125.7791,20170707000000,0.009,215
663,55.1355,-125.7917,20170707000000,0.100,216
790,54.3040,-124.4378,20170707000000,0.100,217
795,55.6929,-126.1639,20170707000000,7.000,218
834,55.2206,-126.0356,20170708000000,4.000,219
839,55.5942,-126.0206,20170708000000,40.000,220
904,55.1750,-124.9345,20170708000000,6.500,221
610,55.5295,-123.6453,20170705000000,11.000,222
759,55.6981,-123.5438,20170707000000,0.200,223
846,56.5363,-124.6190,20170708000000,0.700,224
858,55.2503,-123.2702,20170708000000,0.009,225
895,56.1722,-125.2887,20170708000000,0.009,226
949,56.5328,-124.3946,20170709000000,0.400,227
1357,55.3235,-123.9398,20170726000000,0.400,228
57,55.7177,-121.2106,20170427000000,6.000,229
78,55.7203,-120.5427,20170504000000,0.009,230
81,55.6548,-120.5602,20170505000000,0.009,231
97,55.7220,-121.2255,20170508000000,0.200,232
129,55.5546,-122.4457,20170522000000,0.009,233
250,55.6995,-121.5986,20170604000000,0.009,234
376,55.6980,-121.6048,20170625000000,0.009,235
748,55.7006,-121.1446,20170707000000,0.009,236
1377,55.7863,-121.5961,20170726000000,0.009,237
1408,55.7679,-121.5112,20170728000000,0.009,238
64,56.2145,-121.4275,20170429000000,3.200,239
92,56.3052,-121.1622,20170507000000,6.200,240
95,56.7500,-121.7044,20170507000000,4.100,241
176,56.9532,-122.0781,20170527000000,1.500,242
238,56.7520,-121.2757,20170603000000,0.009,243
